"cset_id","company_name","country","website","region","stage","ai_pubs_since_2010","ai_pubs_in_top_conf_since_2010","ai_patents_since_2010","ai_pubs_since_2010_rank","ai_pubs_in_top_conf_since_2010_rank","ai_patents_since_2010_rank","market","crunchbase_uuid","crunchbase_url","aliases","grid_ids","permids","parents","included_subsidiaries","excluded_subsidiaries"
"","Microsoft","United States","http://www.microsoft.com","North America","Mature","10371","3690","1741","1","1","2","NASDAQ:MSFT","fd80725f-53fc-7009-9878-aeecf1e9ffbb","https://www.crunchbase.com/organization/microsoft?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Microsoft (Contract); Microsoft Corp; Microsoft Corporation","grid.419815.0, grid.424745.4, grid.425776.5, grid.434364.2, grid.436621.4, grid.451068.e, grid.472724.0, grid.472818.0, grid.47355.30, grid.480246.c, grid.481753.c, grid.482139.5, grid.497586.1, grid.501318.e, grid.24488.32, grid.466948.1, grid.466946.f, grid.491181.4","4295907168, 5026988025, 5073957652, 5048229492","","Microsoft Research, Microsoft Research India, Semantic Machines","LinkedIn"
"","Google","United States","http://www.google.com/","North America","Mature","7776","2865","1565","2","2","3","NASDAQ:GOOG","6acfa7da-1dbd-936e-d985-cf07a1b27711","https://www.crunchbase.com/organization/google?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Google; Google LLC; Google [X] - Self-Driving Car Project","grid.420451.6, grid.424498.7, grid.432839.7, grid.472568.a, grid.498398.7, grid.498210.6, grid.497121.8","4295899948, 5040958065, 4298082502","Alphabet","DeepMind, Fitbit, Google Brain, Google Robotics",""
"","IBM","United States","http://www.ibm.com/","North America","Mature","7722","1555","3539","3","3","1","NYSE:IBM, SWX:IBM","fc5fbe7a-562d-d577-b05e-46797caa134c","https://www.crunchbase.com/organization/ibm?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Computing Tabulating Recording; Ctr; International Business Machines; International Business Machines Corp; International Business Machines Corporation","grid.14648.3f, grid.292504.8, grid.410484.d, grid.424192.8, grid.424815.e, grid.425187.d, grid.435338.a, grid.435339.b, grid.435341.4, grid.463333.2, grid.466738.8, grid.466739.9, grid.485587.3, grid.496908.a, grid.501325.0, grid.507216.7, grid.410387.9, grid.420126.3, grid.424816.d, grid.464581.a, grid.481550.d, grid.481551.c, grid.481552.f, grid.481553.e, grid.481554.9, grid.481555.8, grid.481556.b, grid.11447.37","4295904307","","IBM Research",""
"","Facebook","United States","http://www.facebook.com","North America","Mature","2522","1091","513","4","4","14","NASDAQ:FB","df662812-7f97-0b43-9d3e-12f64f504fbb","https://www.crunchbase.com/organization/facebook?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Facebook Inc; Facebook, Inc","grid.436437.1, grid.453567.6, grid.474390.d","4297297477, 5045867015, 5060641199, 5052526295, 5040047854","","Mapillary, CTRL-Labs, Facebook AI, Facebook Reality Labs, Facebook Research, GrokStyle, Oculus Vr",""
"","Tencent","China","https://www.tencent.com/en-us/","Asia","Mature","2137","904","1041","7","5","7","HKG:0700","3cae090b-ed2d-95f8-79a9-e32ca480258f","https://www.crunchbase.com/organization/tencent?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Tencent Holdings; Tencent Holdings Limited; Tencent Ltd; Tengxun; 腾讯","grid.471330.2","5057833188, 4295865078, 5065360019","","Tencent AI Lab",""
"","Alibaba","China","http://alibabagroup.com","Asia","Mature","1830","808","650","9","6","11","SEHK:9988, HKG:9988, NYSE:BABA","17d626a7-27a7-a51b-9337-3839f8ed055e","https://www.crunchbase.com/organization/alibaba?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Alibaba; Alibaba Group; Alibaba Group Holding Limited; Alibaba Group Holding Ltd; 阿里; 阿里巴巴集团; 阿里巴巴集团控股有限公司","grid.480001.d, grid.481557.a, grid.481558.5","5000066483","","",""
"","Verizon","United States","http://www.verizon.com/","North America","Mature","1358","728","328","13","7","27","NYSE:VZ","e693e2f0-50bb-05ab-8a27-4078f5dacf11","https://www.crunchbase.com/organization/verizon?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.426479.a, grid.471324.7, grid.473825.f, grid.422184.9","4296599973, 5052791256, 4295911976","","Oath, Verizon Media, Yahoo, Yahoo! Labs",""
"","Amazon","United States","http://amazon.com","North America","Mature","1851","630","442","8","8","16","NASDAQ:AMZN","05554f65-6aa9-4dd1-6271-8ce2d60f10c4","https://www.crunchbase.com/organization/amazon?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Amazon; Amazon.com; Amazon.com Inc","grid.467171.2, grid.497915.7, grid.499609.b","4295905494, 5000053451, 5038056692, 5051388112","","A9.com, Amazon Advertising, Amazon Lab126, Amazon Web Services, Zoox Inc.",""
"","Adobe","United States","http://www.adobe.com","North America","Mature","1600","575","389","12","9","19","NASDAQ:ADBE","172a34b4-9edd-b0ae-c768-cbfa8e1ab52c","https://www.crunchbase.com/organization/adobe-systems?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Adobe Corp; Adobe Corporation; Adobe Inc; Adobe Systems","grid.467212.4","4295905431","","Adobe Research",""
"","Baidu","China","http://www.baidu.com","Asia","Mature","1219","511","1328","14","10","5","NASDAQ:BIDU","c273424a-c118-e7ab-29a6-843775e7e6d0","https://www.crunchbase.com/organization/baidu?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Baidu Inc; 百度","grid.459383.0, grid.497859.e","4295864818, 5061450735, 5036392074","","iQiyi, Baidu Silicon Valley AI Lab, Baidu Usa",""
"","Huawei","China","https://www.huawei.com/","Asia","Mature","1726","452","527","10","11","13","","09cce08a-c9fc-0e79-e825-249b00642c79","https://www.crunchbase.com/organization/huawei?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Huawei Technologies; Huawei Technologies Co., Ltd; 华为; 华为公司; 华为技术有限公司","grid.420699.0, grid.424748.9, grid.435078.d, grid.450842.f, grid.453400.6, grid.471160.5, grid.486148.7","4296309931","Huawei Investment & Holding Co., Ltd.","",""
"","Sensetime","China","http://www.sensetime.com/","Asia","Mature","568","317","102","24","12","57","","5260df21-a4af-7e6b-7da0-90def51cc36c","https://www.crunchbase.com/organization/sensetime","Beijing Sensetime Technology Development Co Ltd; Sensetime; Sensetime Group Ltd; Shangtang Keji; 商汤; 商汤科技","","5050912854","","",""
"","Samsung","South Korea","https://www.samsung.com/us/","Asia","Mature","2380","278","1275","5","13","6","KRX:5930, 005930:KRX","df14597c-3e51-8d58-9c15-fb3de3a34a54","https://www.crunchbase.com/organization/samsung-electronics?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Samsung; Samsung Electronics; Samsung Electronics Co Ltd; Samsung Electronics Co., Ltd","grid.419666.a, grid.420463.7, grid.436658.a, grid.437715.3, grid.465065.4, grid.473100.1, grid.473730.4, grid.474488.3, grid.474677.1, grid.495563.8, grid.497733.d, grid.499000.4","4295882451, 5047107216","","Samsung Research America",""
"","Intel","United States","http://www.intel.com/","North America","Mature","1673","246","977","11","14","8","NASDAQ:INTC","1e4f199c-363b-451b-a164-f94571075ee5","https://www.crunchbase.com/organization/intel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Intel Corp; Intel Corporation; N M Electronics","grid.419318.6, grid.420265.7, grid.425153.4, grid.435529.c, grid.459604.a, grid.464897.0, grid.466868.2, grid.472840.d, grid.498576.1, grid.498876.c, grid.501297.8","5067501686, 4295906830","","Habana Labs, Intel Federal LLC, Intel Labs",""
"","Nvidia","United States","https://www.nvidia.com/en-in/","North America","Mature","943","242","135","17","15","50","NASDAQ:NVDA","ee17319e-f5ee-9c9a-6500-edf82b4fbf05","https://www.crunchbase.com/organization/nvidia?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","NVIDIA Corp; Nvidia Corporation","grid.474379.a, grid.451133.1","4295914405","","NVIDIA Research",""
"","Siemens","Germany","http://www.siemens.com","Europe","Mature","2278","159","867","6","16","9","NSE:SIEMENS","8483fc50-b82d-5ffa-5f92-6c72ac4bdaff","https://www.crunchbase.com/organization/siemens?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.421266.5, grid.466922.d, grid.497979.d, grid.415886.6, grid.14601.32, grid.419233.e, grid.422187.a, grid.424295.c, grid.425300.0, grid.426094.d, grid.426107.6, grid.426109.8, grid.426110.0, grid.426119.9, grid.437542.3, grid.437755.7, grid.437759.b, grid.448066.8, grid.451281.b, grid.452598.7, grid.458701.f, grid.474506.4, grid.474511.2, grid.474512.1, grid.480381.6, grid.480383.4, grid.481749.7, grid.497371.f, grid.498655.3, grid.507268.e, grid.5406.7, grid.423288.7, grid.425532.7, grid.451438.f, grid.474736.5, grid.482350.8","4295907127, 5046274429, 4295869238, 4295912319","","Mentor Graphics, Siemens Healthineers, Varian Medical Systems",""
"","Bosch","Germany","http://www.bosch.com","Europe","Unknown","1048","124","306","16","17","31","","dcf152a1-23fc-6a0e-9a76-68c3fc2ec472","https://www.crunchbase.com/organization/bosch?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.420831.c, grid.457115.3, grid.471161.4, grid.472791.e, grid.472806.f, grid.474397.a, grid.474474.0, grid.474475.1, grid.474745.1, grid.481577.8, grid.481578.7, grid.6584.f","4295869214","","Bosch Research And Technology Center",""
"","Nec Corporation","Japan","http://www.nec.com","Asia","Mature","716","119","748","21","18","10","TYO:6701","ffe99b24-01f1-7cd8-631d-415bb4d3550c","https://www.crunchbase.com/organization/nec?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.28328.33, grid.419859.8, grid.420377.5, grid.425620.7, grid.474373.0, grid.497392.2","5037119202, 4295877357","","NEC Laboratories America, Inc.",""
"","Xerox","United States","https://www.xerox.com/","North America","Mature","501","100","252","27","19","36","NYSE:XRX","7ef1577a-8779-8044-4a42-669b796f8e4f","https://www.crunchbase.com/organization/xerox?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.271921.e, grid.420144.7, grid.426471.2, grid.437215.6","4295905360","","",""
"","Bytedance","China","http://bytedance.com","Asia","Mature","249","99","144","42","20","47","","47f9688f-00a9-23f9-3a64-179bc6dd31d4","https://www.crunchbase.com/organization/bytedance?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Beijing Bytedance Technology Co Ltd; Bytedance; Tiaodong; Toutiao; Zijie Tiaodong; 北京字节跳动科技有限公司; 字节跳动","","5042940843","","",""
"","Megvii","China","https://www.megvii.com/","Asia","Mature","180","98","216","57","21","38","","34253c5f-828c-5020-726d-20fc32cd14c8","https://www.crunchbase.com/organization/megvii-technology","Beijing Kuangshi Technology Co Ltd; Face++; Faceplusplus; Kuangshi Keji; Megvii; Megvii Inc; Megvii Technology; Megvii Technology Limited; 北京旷视科技有限公司; 旷视; 旷视科技","","5044023186","","Megvii (Face++) Research US",""
"","Uber","United States","http://www.uber.com","North America","Mature","200","82","203","53","22","41","NYSE:UBER","1eb37109-3b93-01a9-177f-fee2cb1bfcdc","https://www.crunchbase.com/organization/uber?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Uber Technologies Inc; Ubercab; Ubercab.Com","","5044170969, 5037473967","","Mighty AI, Uber AI Labs",""
"","Ebay","United States","http://ebay.com","North America","Mature","166","80","108","60","23","53","NASDAQ:EBAY","e56b0ceb-bb30-bbec-805e-d5dc7412dcb1","https://www.crunchbase.com/organization/ebay?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Ebay Inc","grid.474407.4, grid.471041.7, grid.473057.2","4295906238","","",""
"","Apple","United States","http://www.apple.com","North America","Mature","297","69","213","36","24","39","NASDAQ:AAPL","2d62fec3-1058-462f-a244-02e3ce3c34a0","https://www.crunchbase.com/organization/apple?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Apple Computer; Apple Inc; Apple, Inc","grid.455360.1, grid.474343.3, grid.474412.0, grid.499511.1","4295905573, 5056413098, 5053733140, 5000778139, 5046040850, 5039843976","","Drive.ai, Xnor.ai, Flyby Media Inc. (acquired by Apple), Metaio, Turi (formerly Dato)",""
"","Didi Chuxing","China","https://www.didiglobal.com/#/","Asia","Mature","168","68","93","58","25","60","","eab915a8-f414-64e0-5138-c5f341596a5b","https://www.crunchbase.com/organization/didi-dache?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Didi; Didi Chuxing; Didi Chuxing Technology Co; Didi Chuxing Technology Co Ltd; Didi Kuaidi; 滴滴; 滴滴出行","","5061034199","","",""
"","LinkedIn","United States","http://linkedin.com","North America","Mature","73","67","0","89","26","565","NYSE:LNKD","86da6213-5b43-6419-4047-472102ccf66f","https://www.crunchbase.com/organization/linkedin?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","LinkedIn Corp; Linkedin Corporation","grid.510623.3","4296977663","Microsoft (Acquired)","",""
"","Twitter","United States","http://www.twitter.com/","North America","Mature","115","65","25","67","27","119","NYSE:TWTR","5da6106f-0d27-0d37-e9d7-dcfeccc1f709","https://www.crunchbase.com/organization/twitter?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Twitter Inc","grid.480429.3","4296301199","","",""
"","Qualcomm","United States","http://www.qualcomm.com","North America","Mature","468","58","501","28","28","15","NASDAQ:QCOM","3e3e8a2f-3700-f2c9-6568-4aaae02c07c6","https://www.crunchbase.com/organization/qualcomm?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Qualcomm Inc; Qualcomm Incorporated; Qualcomm Technologies, Inc","grid.430388.4, grid.451276.3, grid.472821.a, grid.497924.5, grid.471110.2, grid.467220.5, grid.422851.8, grid.437769.8, grid.499585.c","4295907706, 4295903297, 4295908502","","AMD, Xilinx",""
"","Hewlett Packard","United States","http://www.hp.com","North America","Mature","580","55","282","23","29","33","NYSE:HPQ","8adadbfb-be63-6602-8ca0-b037397a7038","https://www.crunchbase.com/organization/hewlett-packard?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Hewlett Packard Co; Hp","grid.474602.3, grid.496897.d, grid.418547.b","5046390586, 4295904170","","Hewlett Packard Enterprise",""
"","Aurora Innovation","United States","https://aurora.tech/","North America","Mature","101","55","203","74","29","41","","e922b33b-0242-45e4-a1b2-2ea31ed06292","https://www.crunchbase.com/organization/aurora-6292","Aurora; Aurora Innovation Inc; Aurora Innovation, Inc","","5055417330","","Uber Advanced Technologies Group",""
"","Mitsubishi","Japan","http://www.mitsubishicorp.com/","Asia","Unknown","768","50","275","19","31","34","","b8d38291-6018-dd90-83ec-0723756f2949","https://www.crunchbase.com/organization/mitsubishi-corporation?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.415977.9, grid.418306.8, grid.425847.8, grid.438858.a, grid.457661.7, grid.459769.0, grid.462605.3, grid.464024.0, grid.465204.1, grid.466925.a, grid.471149.e, grid.471153.5, grid.471157.1, grid.471166.3, grid.471769.a, grid.472103.3, grid.474346.6, grid.474359.8, grid.474695.d, grid.474748.c, grid.480274.d, grid.480276.f, grid.480624.c, grid.480862.0, grid.486807.5, grid.505588.5, grid.505866.8","4297372521, 4295880570","","Mitsubishi Electric Research Laboratories",""
"","JD.com","China","http://corporate.jd.com/","Asia","Mature","158","49","233","62","32","37","SEHK:9618, NASDAQ:JD, VIE:JD","33818672-08db-f8b9-8e80-e76f7e96cdcd","https://www.crunchbase.com/organization/jd-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","360Buy; 360Buy Jingdong Inc; 360Buy Ltd; JD.com; Jd.Com Inc; Jingdong; 京东; 京东集团","grid.497060.c","5041064571, 5044364263","","Jingdong AI, Jd Finance",""
"","Spotify","Sweden","http://www.spotify.com","Europe","Mature","59","46","22","104","33","130","NYSE:SPOT","022417b5-4980-6c54-0f3c-6736bbbb1a5e","https://www.crunchbase.com/organization/spotify?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","","4298094062","","",""
"","General Electric","United States","http://www.ge.com","North America","Mature","565","42","385","25","34","20","NYSE:GE","1f2d7988-b461-f905-b8ab-c9a773063bd7","https://www.crunchbase.com/organization/general-electric?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Ge","grid.418143.b, grid.438488.b, grid.447891.7","4295903128","","",""
"","Toyota","Japan","http://www.toyota-global.com","Asia","Mature","763","38","545","20","35","12","NYSE:TM","12b90373-ab49-a56a-4b4e-c7b3e9236faf","https://www.crunchbase.com/organization/toyota?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.426284.e, grid.450319.a, grid.450487.a, grid.462975.b, grid.467593.a, grid.471288.0, grid.471293.a, grid.472090.8, grid.481449.4, grid.481734.d, grid.481782.0, grid.506821.8","5062435723, 4295876746","","Toyota Research Institute",""
"","Horizon Robotics","China","https://www.horizon.ai/","Asia","Growth","83","38","32","82","35","106","","e56017e2-7692-6514-8f0d-f98189ab253d","https://www.crunchbase.com/organization/horizon-robotics","Beijing Horizon Robotics Technology Development Co Ltd; Dipingxian; Horizon Robotics, Inc; 北京地平线信息技术有限公司; 地平线","","5068316151","","",""
"","Philips","Netherlands","http://www.slc.philips.com/home","Europe","Mature","1214","36","394","15","37","17","NYSE:PHG, AMS:PHIA","03099c0f-ed6a-d0ea-bf12-1347b36ed611","https://www.crunchbase.com/organization/koninklijke-philips?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Koninklijke Philips; Koninklijke Philips NV; Royal Philips; 飞利浦","grid.417284.c, grid.417285.d, grid.418621.8, grid.423555.0, grid.425454.6, grid.425457.5, grid.437216.5, grid.437221.1, grid.450592.f, grid.474546.0, grid.480341.a, grid.483549.7, grid.491950.0, grid.497469.1","4295884721, 4296739105","","Philips Research North America",""
"","Snap Inc.","United States","https://www.snap.com","North America","Mature","85","36","28","80","37","114","NYSE:SNAP","e6178a34-5054-6449-8d77-5c28702d0dab","https://www.crunchbase.com/organization/snapchat?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Snap; Snap Inc; Snap. Inc; Snapchat; Snapchat Inc","grid.497119.3","5038065579","","",""
"","Kuaishou","China","http://www.kuaishou.com/","Asia","Mature","94","35","0","76","39","565","","2bfede62-732b-a7f8-b1d7-5f8c65f0a3b8","https://www.crunchbase.com/organization/kuaishou?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Beijing Kuaishou Technology Co Ltd; Beijing Kuaishou Technology Ltd; Kuaishou Technology; Kwai Inc; 快手","","5052789513","","",""
"","Allen Institute For Artificial Intelligence","United States","http://allenai.org/","North America","Unknown","61","30","3","101","40","328","","8db5f902-fd0e-a7fb-8338-fb2435e71571","https://www.crunchbase.com/organization/allen-institute-for-artificial-intelligence","Ai2","grid.502992.5","5053005487","","",""
"","Pinterest","United States","https://pinterest.com","North America","Mature","43","30","3","117","40","328","NYSE:PINS","8f83e283-e00b-8101-d79b-bf2dd6914d6e","https://www.crunchbase.com/organization/pinterest?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Cold Brew Labs Inc; Pinterest Inc","","5036190505","","",""
"","Oracle","United States","https://www.oracle.com","North America","Mature","221","29","176","47","42","43","NYSE:ORCL, TYO:4716","bef5bd4b-72c6-7877-d7ab-8bbe43f7bda7","https://www.crunchbase.com/organization/oracle?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Oracle Corp; Oracle Corporation","grid.419799.b, grid.422723.2, grid.436864.b, grid.436869.6, grid.438133.e, grid.451368.d, grid.464999.f, grid.474391.c","5036190303, 4295907485","","Moat",""
"","AT&T Inc","United States","https://www.att.com/","North America","Mature","241","28","128","43","43","51","NYSE:T, NYQ:T, LSE:0QZ1, BER:SOBA, DUS:SOBA, FRA:SOBA, HAM:SOBA, MUN:SOBA, MEX:T*, STU:SOBA, BUE:T3, HAN:SOBA, DEU:T, SAO:ATTB34, GER:SOBX.A, SGO:T, BRN:SOBA, SWX:T, ASE:T, VIE:ATT, MCX:T-RM","8b69af97-cb83-b6f0-789b-45f6f4211171","https://www.crunchbase.com/organization/at-t","AT&T; At&T Inc; Sbc Communication","grid.431860.8, grid.472795.a, grid.473103.2, grid.431864.c, grid.469777.c","4295904853","","",""
"","Hikvision","China","https://www.hikvision.com/","Asia","Mature","113","28","107","69","43","54","SZSE:002415","a9156fb9-6894-0586-3928-3f79f4b7c13a","https://www.crunchbase.com/organization/hikvision-digital-technology","Hangzhou Hikvision Digital Technology Co., Ltd; Hikvision Digital Technology; 杭州海康威视数字技术股份有限公司; 海康威视","","4298105400","","",""
"","Ge Global Research","United States","http://ge.geglobalresearch.com","North America","Mature","259","26","393","41","45","18","","45d6d088-6e22-f5f6-9c2d-b79b84cbdcec","https://www.crunchbase.com/organization/ge-global-research","Ge; Ge Global Research (Division); Ge Research; General Electric","grid.418144.c, grid.418145.d, grid.418146.e","5024587766","General Electric","",""
"","iFlyTek","China","https://www.iflytek.com/","Asia","Mature","209","25","64","52","46","72","SZSE:002230","10ea2431-f439-5bf6-a5d2-a027196e0514","https://www.crunchbase.com/organization/anhui-ustc-iflytek-science-and-technology-co-ltd","Anhui Ustc Iflytek Science And Technology Co. Ltd; Iflytek Co Ltd; Keda Xunfei; Keda Xunfei Co., Ltd; 科大讯飞; 科大讯飞股份有限公司","","4298007693","","",""
"","Honda","Japan","http://world.honda.com/","Asia","Mature","856","24","286","18","47","32","BMV:HMCN","0017e370-d941-822e-83bc-538beaab28da","https://www.crunchbase.com/organization/honda-automobiles?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.420749.c, grid.467199.4, grid.471052.5","5034782845, 5000058303","","Honda Research Institute Europe",""
"","IQVIA","United States","https://www.iqvia.com/","North America","Mature","79","24","3","84","47","328","NYSE:IQV, LSE:0JDM, NYQ:IQV","ef7c4e51-ba44-9374-911c-28d13cab996a","https://www.crunchbase.com/organization/quintilesims","IQVIA Inc; Iqvia Holding Inc; Iqvia®; Quintiles And Ims Health, Inc; QuintilesIMS","grid.497480.6, grid.482783.2, grid.418848.9, grid.434277.1","4295903150","","",""
"","Bloomberg LP","United States","http://www.bloomberg.com","North America","Unknown","66","23","0","93","49","565","","3eae151d-c4b2-9a66-45a7-0dd77cdc3ab1","https://www.crunchbase.com/organization/bloomberg?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Bloomberg Business; Bloomberg L.P; Bloomberg LP; Bloomberh Lp","grid.431434.5","4295956702","","",""
"","Malong","China","https://www.malong.com/zh/home","Asia","Growth","38","23","24","127","49","125","","ce8c7d08-72d3-c537-68be-ae46d6ffc228","https://www.crunchbase.com/organization/malong-technologies","Malong Technologies; Malong Technology; Shenzhen Malong Technologies Co Ltd; 码隆科技","","5052151458","","",""
"","Technicolor","France","https://www.technicolor.com/","Europe","Mature","237","21","75","44","51","67","EPA:TCH, NASDAQ:THNRF, LSE:0MV8","eb7fd76c-cf5a-7ada-9a88-8d9f9a44580c","https://www.crunchbase.com/organization/technicolor","Technicolor Sa; Thomson Multimedia; Thomson Sarl","grid.480414.d, grid.426216.5, grid.424185.e","4295868255","","",""
"","Deepwise","China","http://www.deepwise.com/","Asia","Growth","132","21","7","64","51","227","","cbe92bfd-1df0-4fbe-bc47-e4bb0fb310b9","https://www.crunchbase.com/organization/deepwise","Beijing Deepwise Bolian Technology Co Ltd; Beijing Deepwise Science And Technology Co., Ltd; Shenrui Yiliao; 深睿医疗","","5059048369","","",""
"","Element Ai","Canada","http://www.elementai.com/","North America","Growth","59","21","29","104","51","112","","480a1964-c614-84fb-b0ac-c981b1ceb5cd","https://www.crunchbase.com/organization/element-ai#section-overview","Element Ai Inc","","5052540212","","",""
"","Video++","China","http://videojj.com/","Asia","Growth","279","20","55","39","54","78","","88bd5471-7d0b-4da4-b76f-47de9ec87010","https://www.crunchbase.com/organization/video-7010","Jilian Technology; Shanghai Extreme Chain Network Technology Co., Ltd; Shanghai Jilian Network Technology Co Ltd; Videoplusplus; 上海极链网络科技有限公司","","5065370760","","",""
"","Palo Alto Research Center","United States","https://www.parc.com/","North America","Unknown","212","20","54","50","54","81","","7c0d3dfc-26a4-de49-5168-8f067a48d288","https://www.crunchbase.com/organization/parc","Palo Alto Research Center Inc; Palo Alto Research Center Incorporated; Parc; Parc A Xerox Company; Xerox Parc","grid.482243.b","4296991390","Xerox","",""
"","Sony","Japan","http://www.sony.net/","Asia","Mature","271","19","369","40","56","22","OTCPINK:SNEJF","bf313e68-63a0-8281-a809-bc824b4c51f2","https://www.crunchbase.com/organization/sony?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.410792.9, grid.421353.2, grid.426400.4, grid.426401.5, grid.426403.7, grid.437893.2, grid.452002.1, grid.452725.3, grid.474524.4, grid.474525.5, grid.474526.6","5000002406","","",""
"","Accenture PLC","Ireland","https://www.accenture.com/us-en","Europe","Mature","191","18","345","55","57","25","NYSE:ACN, FRA:CSA, LSE:0Y0Y","0d5171b3-68b3-37c3-cb50-8cd8ccb8930b","https://www.crunchbase.com/organization/accenture","Accenture; Andersen","grid.435925.c, grid.471040.6, grid.436496.a, grid.455598.0, grid.457497.c, grid.466505.4, grid.470612.6, grid.479995.f, grid.476073.1","4295903017","","",""
"","Elsevier","United Kingdom","http://www.elsevier.com","Europe","Mature","81","18","5","83","57","264","","9667c302-fdc3-4099-e0d9-9366a7eaeab1","https://www.crunchbase.com/organization/elsevier?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Elsevier BV; Elsevier Ltd; Reed Elsevier","grid.431392.e, grid.431549.e, grid.462207.5","4297219144, 5000131860","Relx Group","",""
"","WeBank","China","https://www.webank.com/en/","Asia","Mature","63","18","53","98","57","83","","670b5cd6-18fa-e8dd-f455-42729732402f","https://www.crunchbase.com/organization/webank","Shenzhen Qianhai Webank Co Ltd; Webank Co., Ltd; Weizhong Yinhang; 微众银行","","5044200042","","",""
"","BAE Systems PLC","United Kingdom","http://www.baesystems.com/","Europe","Mature","212","17","54","50","60","81","LSE:BA, FRA:BSP, FRA:BSPA, LSE:BA., PKC:BAESF, PKC:BAESY","d53020f6-8a56-9b9a-764d-bf209256b5b3","https://www.crunchbase.com/organization/bae-systems","BAE Systems; Bae Systems North America Inc","grid.473877.8, grid.1343.5, grid.422090.d","5000001291","","",""
"","Xiaomi","China","http://www.mi.com/en/","Asia","Mature","84","17","207","81","60","40","HKG:1810","1ac25206-3b8a-b4a6-48b3-5df4b671e586","https://www.crunchbase.com/organization/xiaomi","Mi; Xiaomi Corporation; Xiaomi Inc; Xiaomi Keji; Xiaomin Inc; 北京小米科技有限责任公司; 小米; 小米科技","grid.480465.b","5001435979","","",""
"","Preferred Networks, Inc.","Japan","https://preferred.jp/en/","Asia","Unknown","60","17","55","103","60","78","","900e276f-746c-3883-9535-2501c38db939","https://www.crunchbase.com/organization/preferred-networks","Pfn; Preferred Networks; Preferred Networks Inc","","5044012691","","",""
"","Airbnb","United States","http://airbnb.com","North America","Mature","25","17","9","152","60","200","","bcb617c3-9e43-d5b0-1d14-82b795f2642f","https://www.crunchbase.com/organization/airbnb?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","Airbed & Breakfast; Airbnb Inc; Airbnb, Inc","","5001437821","","",""
"","General Motors","United States","https://www.gm.com","North America","Mature","388","16","319","30","64","28","NYSE:GM","5087a047-80c5-4aa3-dfdf-30dd8ac88b5e","https://www.crunchbase.com/organization/general-motors?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv","","grid.292836.4, grid.418162.8, grid.423641.6, grid.460347.2, grid.464818.7","4298546138","","",""
